	murra668_20180508_qc_15	murra668_20180508_qc_16	murra668_20180508_qc_17	murra668_20180508_qc_18	murra668_20180508_qc_19	murra668_20180508_qc_20	murra668_20180508_qc_21	murra668_20180508_qc_22	murra668_20180508_qc_23	murra668_20180508_qc_24
M161T349	20248001.2828031	21709192.7735719	20481641.7819837	21141250.2123502	18351471.4778929	17952005.5283072	19979648.4695628	19507690.9219388	18945119.6289297	19570451.0139743
M162T349	1686491.82074876	2949357.86034305	2274059.6091664	2148490.92307104	1644506.14120313	2072277.51616407	1929708.41030455	2806673.79559248	2382611.17093152	2352153.97484933
M162T379	1687359.62930549	1753165.37131875	1921880.21589886	1704254.498325	1487973.84967265	1474640.50571935	1452098.60370352	1449828.1949885	1442323.3368061	1527425.9448723
M163T209	11197455.7407646	13841047.2798086	11396743.4904304	11501945.5062467	12505690.0496149	10362607.3989041	10214384.6087471	11149582.4431941	10649912.0871244	11138821.0854861
M164T473	310230893.39261	297541685.452527	300959780.698765	291498681.820697	262672276.893237	261934555.074326	278971597.838491	263939108.128837	241466181.4488	266696523.143205
M165T267	25192931.7143051	25555130.2224854	25090737.802554	25001880.2905317	23094184.1473686	21237451.6477941	22155250.7409132	22953966.8879194	21427091.7067555	22796471.0088374
M165T473	42085670.023828	43654272.2202308	43714441.6257063	41665901.8634193	39723476.7059668	40418071.0169756	40010215.8681392	38668330.6682641	34303059.9281999	39219246.3866574
M166T267	3025661.25618574	2979170.11299457	3387676.41378162	2975511.47893228	3021121.35590254	2781771.27039338	2833506.89714558	2301699.93375062	3058914.07475334	3284856.62314731
M169T340	3583354.05721812	3310704.0741581	3402538.55497145	3579036.01419762	3542209.83279077	3017814.39295235	3264314.93635288	3348965.71636627	3975326.85267968	4290455.3183199
M170T532	151261681.956965	165570690.346563	170806036.885483	153061560.976422	150367950.790964	139629824.751778	148384096.336683	143000229.918078	136619970.60525	152727076.262715
M171T532	27010849.4017657	25406391.9977541	26479526.7624094	24229066.2624683	23991169.2902808	22505073.574803	24180895.3195363	23933107.2509803	21169833.0795768	24819836.3041806
M172T404	3056083.87717036	2659649.60494414	2858167.16623593	2770994.40946985	2509674.11518523	2469199.59179677	2165308.92238246	2175696.63938627	2107948.32795939	2265995.65262013
M172T667	2036463.66927282	1728566.64382355	1907341.35153687	1929132.60737564	1928064.45466408	1706166.53753906	1770204.59218957	1890858.68801674	2055572.01574077	2121241.18837498
M174T524	2352317.33035386	2408995.52337564	2475602.98408976	2356868.11363026	2291793.04491428	2001684.12912836	2233269.98537619	2035142.51147672	2020636.9986935	2047037.10818906
M175T324	38671121.7902877	39151132.9953938	36440949.5927465	36982997.0525579	34447602.3776901	36238374.96645	35505712.5049659	35833912.5157246	32686592.7501094	34319413.6919536
M176T301	111575227.433114	113081072.133451	113159940.517623	104154417.168963	100069766.254936	94990319.7760911	96775581.0512812	101910447.301415	96802046.6674909	103749105.429893
M176T384	9308848.10759571	9305108.63703091	10016130.3064129	9202098.81519447	8331441.31409906	8641097.73211879	7835954.53145477	8301421.21609966	7440012.68493065	8424667.34428502
M177T301	14980232.3911955	14386087.4473146	12643743.7873761	15203293.292859	12064183.8195069	12084971.4098829	12402710.8799491	9575716.21619718	12108727.7922896	13265123.9502521
