variableMetadata	namecustom	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	pool	isotopes	adduct	pcgroup
M135T238	M134.7749T237.75	134.774853775885	134.767387542841	134.779807261682	237.747680664062	237.429534912109	237.916580200195	8	8			19
M141T340	M140.7759T340.11	140.775917127742	140.766597523315	140.778443536384	340.113952636719	339.939819335938	340.270568847656	9	9			14
M142T340	M141.7248T340.1	141.72481542175	141.719062097275	141.731213423108	340.10341640625	339.939178466797	340.270355224609	6	6			14
M147T267	M146.7283T267.09	146.728264839431	146.724939782866	146.731249312754	267.090148925781	266.916442871094	267.1812	10	10			26
M149T684	M148.7045T684.36	148.704524614596	148.701287567263	148.712585952902	684.359992675781	683.884399414062	684.526977539062	8	8			3
M150T684	M149.677T684.28	149.676974070181	149.668853056122	149.68357546601	684.280670166016	683.712890625	684.526977539062	6	6			3
M158T439	M157.8365T439.15	157.836512130242	157.832913638542	157.840319069815	439.150848388672	438.970886230469	439.527923583984	9	9			60
M161T349	M160.7355T349.31	160.735489259445	160.732658653714	160.744712985969	349.314788818359	349.153991699219	349.474304199219	7	7	[1][M]+		29
M162T349	M161.7347T349.48	161.734744093617	161.730046179214	161.741671976827	349.477447509766	349.153991699219	350.293212890625	5	5	[1][M+1]+		29
M162T379	M161.7711T379.1	161.771093034435	161.766979838764	161.780027310915	379.095855371094	378.868713378906	379.298706054688	8	8			55
M163T209	M162.7121T208.71	162.712115981903	162.705872054259	162.716235381948	208.706443786621	208.614379882812	208.943572998047	10	10			12
M164T473	M163.7863T473.32	163.78629251115	163.782807250145	163.789280303534	473.322692871094	473.181793212891	473.642395019531	10	10		[M+K]+ 124.82 [M+Na]+ 140.794 [M+H]+ 162.776	9
M165T267	M164.7222T267.01	164.722165938629	164.717791278134	164.727186751534	267.006271362305	266.916442871094	267.175994873047	10	10			26
M165T473	M164.7427T473.32	164.742719881689	164.738832776193	164.749015248497	473.319488525391	473.159423828125	473.642395019531	7	7			9
M166T267	M165.7058T267	165.705831764572	165.697177105854	165.710087723005	267.004241943359	266.834838867188	267.177581787109	7	7			26
M169T340	M168.7439T340.23	168.743913189833	168.739259953959	168.746417822088	340.229553222656	339.944885253906	340.422088623047	5	5		[M+K]+ 129.776 [M+H]+ 167.74	14
M170T532	M169.77T532.41	169.769973548715	169.766387426962	169.775927287861	532.407318115234	532.243713378906	532.569946289062	10	10			13
M171T532	M170.74T532.41	170.740040311398	170.736358759707	170.749884992264	532.405517578125	532.243225097656	532.434204101562	8	8			13
M172T404	M171.785T403.83	171.784992825553	171.781478195567	171.791914970792	403.830718994141	403.619110107422	404.188201904297	9	9		[M+H-H20]+ 188.79	49
